customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;SampleWeight
"6469-MRVET";"Male";0;"Yes";"Yes";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Electronic check";20,200000;20,200000;"No";2,768325
"0945-TSONX";"Female";0;"Yes";"Yes";47;"Yes";"Yes";"DSL";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";85,300000;4107,250000;"No";2,768325
"8937-RDTHP";"Male";0;"No";"No";1;"Yes";"No";"Fiber optic";"Yes";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Mailed check";84,600000;84,600000;"Yes";1,000000
"0621-JFHOL";"Female";0;"No";"No";10;"No";"No phone service";"DSL";"No";"No";"No";"Yes";"No";"No";"Two year";"Yes";"Mailed check";29,600000;299,050000;"No";2,768325
"0094-OIFMO";"Female";1;"No";"No";11;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";95,000000;1120,300000;"Yes";1,000000
"6614-FHDBO";"Male";0;"No";"No";72;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Bank transfer (automatic)";109,200000;7878,300000;"No";2,768325
"0322-YINQP";"Male";0;"No";"No";1;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";48,550000;48,550000;"Yes";1,000000
"4629-NRXKX";"Female";0;"Yes";"Yes";2;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";70,400000;147,150000;"Yes";1,000000
"3606-TWKGI";"Male";1;"No";"No";13;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";106,900000;1364,300000;"Yes";1,000000
"7014-ZZXAW";"Female";0;"Yes";"No";71;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Credit card (automatic)";24,250000;1732,950000;"No";2,768325
"6366-ZGQGL";"Male";0;"No";"No";1;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Bank transfer (automatic)";24,800000;24,800000;"Yes";1,000000
"4484-GLZOU";"Female";0;"Yes";"No";52;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";105,050000;5624,850000;"Yes";1,000000
"9512-UIBFX";"Male";0;"Yes";"Yes";18;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"No";"Mailed check";95,150000;1779,950000;"Yes";1,000000
"3580-REOAC";"Male";0;"No";"No";10;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";44,850000;435,400000;"Yes";1,000000
"7534-BFESC";"Male";1;"No";"No";24;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";76,100000;1712,700000;"Yes";1,000000
"6390-DSAZX";"Female";0;"No";"Yes";1;"Yes";"No";"Fiber optic";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";73,600000;73,600000;"Yes";1,000000
"1248-DYXUB";"Male";0;"Yes";"Yes";52;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Mailed check";24,800000;1229,100000;"No";2,768325
"2321-OMBXY";"Female";0;"Yes";"Yes";38;"Yes";"No";"DSL";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"One year";"No";"Credit card (automatic)";80,300000;3058,650000;"Yes";1,000000
"5804-LEPIM";"Female";1;"No";"No";2;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";70,350000;139,050000;"Yes";1,000000
"6885-PKOAM";"Female";0;"Yes";"No";71;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Credit card (automatic)";85,750000;6223,800000;"No";2,768325
"9639-BUJXT";"Male";0;"No";"No";63;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Mailed check";20,500000;1328,150000;"No";2,768325
"4654-DLAMQ";"Female";1;"Yes";"No";64;"Yes";"No";"Fiber optic";"Yes";"Yes";"Yes";"No";"No";"Yes";"One year";"No";"Bank transfer (automatic)";97,000000;6430,900000;"No";2,768325
"0219-YTZUE";"Male";0;"Yes";"Yes";4;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";84,800000;371,900000;"Yes";1,000000
"0623-IIHUG";"Female";1;"No";"No";21;"No";"No phone service";"DSL";"Yes";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";41,900000;840,100000;"Yes";1,000000
"4572-DVCGN";"Female";0;"No";"No";10;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";80,250000;846,000000;"Yes";1,000000
"8984-EYLLL";"Male";0;"Yes";"No";64;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"Yes";"Yes";"Yes";"Two year";"Yes";"Electronic check";105,250000;6823,400000;"No";2,768325
"9057-MSWCO";"Male";1;"Yes";"No";27;"No";"No phone service";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Credit card (automatic)";30,750000;805,100000;"Yes";1,000000
"9069-LGEUL";"Male";0;"Yes";"No";23;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";59,950000;1406,000000;"No";2,768325
"3520-FJGCV";"Male";0;"Yes";"Yes";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";112,600000;8126,650000;"No";2,768325
"6158-HDPXZ";"Male";0;"No";"No";1;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";25,350000;25,350000;"No";2,768325
"6905-NIQIN";"Male";0;"No";"No";1;"Yes";"No";"DSL";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";50,650000;50,650000;"Yes";1,000000
"5167-ZFFMM";"Male";0;"No";"No";1;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";90,850000;90,850000;"Yes";1,000000
"4895-TMWIR";"Male";1;"Yes";"No";11;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19,950000;214,750000;"Yes";1,000000
"0533-BNWKF";"Female";1;"Yes";"No";55;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";85,450000;4874,700000;"Yes";1,000000
"0334-GDDSO";"Male";1;"No";"No";3;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";81,350000;233,700000;"Yes";1,000000
"4163-NCJAK";"Female";0;"Yes";"No";46;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Bank transfer (automatic)";24,450000;1066,150000;"No";2,768325
"4980-URKXC";"Male";0;"Yes";"No";36;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Bank transfer (automatic)";20,850000;720,050000;"No";2,768325
"4110-PFEUZ";"Female";0;"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";69,550000;69,550000;"Yes";1,000000
"0256-LTHVJ";"Female";0;"Yes";"Yes";28;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";81,050000;2227,100000;"Yes";1,000000
"4785-FCIFB";"Female";0;"Yes";"No";61;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Mailed check";24,400000;1417,900000;"No";2,768325
"3811-VBYBZ";"Male";0;"No";"No";7;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";99,800000;673,250000;"Yes";1,000000
"2359-KMGLI";"Male";0;"No";"No";24;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";80,250000;1861,500000;"Yes";1,000000
"0486-LGCCH";"Male";0;"Yes";"Yes";11;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Mailed check";19,650000;225,750000;"No";2,768325
"8372-JUXUI";"Male";0;"No";"Yes";1;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";74,350000;74,350000;"Yes";1,000000
"8205-OTCHB";"Male";0;"No";"No";22;"No";"No phone service";"DSL";"No";"Yes";"Yes";"No";"No";"Yes";"One year";"Yes";"Bank transfer (automatic)";43,750000;903,600000;"Yes";1,000000
"6235-VDHOM";"Female";1;"No";"No";5;"No";"No phone service";"DSL";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";28,450000;131,050000;"Yes";1,000000
"4636-QRJKY";"Female";0;"Yes";"Yes";6;"Yes";"Yes";"Fiber optic";"No";"No";"No";"Yes";"No";"No";"Month-to-month";"Yes";"Electronic check";80,500000;502,850000;"Yes";1,000000
"1135-LMECX";"Female";0;"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19,850000;19,850000;"No";2,768325
"4332-MUOEZ";"Male";1;"Yes";"Yes";20;"Yes";"No";"Fiber optic";"Yes";"No";"Yes";"Yes";"No";"Yes";"One year";"No";"Credit card (automatic)";94,300000;1818,300000;"No";2,768325
"9412-GHEEC";"Male";0;"No";"No";40;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"Yes";"Yes";"Yes";"Month-to-month";"No";"Bank transfer (automatic)";104,800000;4131,950000;"Yes";1,000000
"7531-GQHME";"Male";0;"No";"No";12;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Credit card (automatic)";20,050000;265,450000;"No";2,768325
"8606-CIQUL";"Male";1;"Yes";"Yes";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";115,750000;8399,150000;"No";2,768325
"1297-VQDRP";"Male";1;"Yes";"Yes";68;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";107,150000;7379,800000;"No";2,768325
"2866-IKBTM";"Female";0;"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19,550000;19,550000;"No";2,768325
"1342-JPNKI";"Male";0;"No";"No";10;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";86,050000;834,100000;"Yes";1,000000
"3701-SFMUH";"Male";0;"Yes";"Yes";7;"Yes";"No";"DSL";"Yes";"No";"No";"No";"Yes";"Yes";"Month-to-month";"No";"Credit card (automatic)";69,700000;516,150000;"No";2,768325
"4710-FDUIZ";"Male";0;"Yes";"No";56;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"One year";"No";"Credit card (automatic)";100,300000;5614,450000;"Yes";1,000000
"8270-RKSAP";"Male";0;"No";"No";9;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";70,500000;597,900000;"No";2,768325
"2865-TCHJW";"Female";1;"No";"No";4;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";89,200000;346,200000;"Yes";1,000000
"5192-EBGOV";"Female";1;"No";"No";1;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";85,700000;85,700000;"Yes";1,000000
"0459-SPZHJ";"Male";0;"Yes";"Yes";63;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Two year";"No";"Credit card (automatic)";83,500000;5435,000000;"No";2,768325
"9244-ZVAPM";"Male";0;"No";"No";1;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";45,600000;45,600000;"No";2,768325
"5172-MIGPM";"Male";0;"No";"No";4;"Yes";"Yes";"DSL";"No";"No";"No";"Yes";"No";"Yes";"Month-to-month";"No";"Mailed check";65,550000;237,200000;"No";2,768325
"6689-VRRTK";"Female";1;"No";"No";44;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";109,800000;4860,350000;"No";2,768325
"6464-KEXXH";"Male";0;"No";"No";8;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";25,250000;186,300000;"No";2,768325
"4059-IIEBK";"Female";0;"No";"No";7;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";78,550000;522,950000;"No";2,768325
"0516-UXRMT";"Female";0;"No";"No";62;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"No";"No";"One year";"Yes";"Electronic check";92,050000;5755,800000;"No";2,768325
"1009-IRMNA";"Female";0;"No";"No";7;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Bank transfer (automatic)";20,000000;137,600000;"Yes";1,000000
"4554-YGZIH";"Male";1;"Yes";"No";49;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"Yes";"Month-to-month";"No";"Credit card (automatic)";90,050000;4547,250000;"Yes";1,000000
"5099-BAILX";"Male";1;"Yes";"Yes";43;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";110,750000;4687,900000;"Yes";1,000000
"0887-HJGAR";"Male";0;"No";"No";1;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";45,700000;45,700000;"Yes";1,000000
"3509-GWQGF";"Male";1;"No";"No";24;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Credit card (automatic)";70,000000;1732,600000;"No";2,768325
"2024-BASKD";"Female";0;"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";74,600000;74,600000;"Yes";1,000000
"1140-UKVZG";"Female";0;"No";"No";17;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";24,800000;475,250000;"No";2,768325
"3859-CVCET";"Female";0;"No";"No";4;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";45,650000;191,050000;"Yes";1,000000
"5642-MHDQT";"Female";0;"Yes";"Yes";53;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Bank transfer (automatic)";19,850000;1039,450000;"No";2,768325
"0822-GAVAP";"Female";0;"No";"No";2;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";34,700000;62,250000;"Yes";1,000000
"2276-YDAVZ";"Female";0;"No";"No";3;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";75,100000;270,700000;"Yes";1,000000
"9978-HYCIN";"Male";1;"Yes";"Yes";47;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"Yes";"No";"One year";"Yes";"Bank transfer (automatic)";84,950000;4018,050000;"No";2,768325
"7133-VBDCG";"Female";0;"No";"No";25;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";79,850000;2015,350000;"Yes";1,000000
"7596-ZYWBB";"Female";0;"No";"No";65;"Yes";"No";"DSL";"Yes";"Yes";"No";"Yes";"No";"No";"Two year";"Yes";"Mailed check";59,600000;3739,800000;"No";2,768325
"3014-WJKSM";"Male";0;"Yes";"No";29;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";75,300000;2263,400000;"No";2,768325
"9661-JALZV";"Female";0;"No";"No";58;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Credit card (automatic)";24,700000;1519,000000;"No";2,768325
"4312-KFRXN";"Male";0;"Yes";"No";72;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Mailed check";25,400000;1710,900000;"No";2,768325
"5575-TPIZQ";"Male";0;"No";"No";46;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Credit card (automatic)";89,150000;4245,550000;"No";2,768325
"1853-ARAAQ";"Female";0;"No";"No";26;"No";"No phone service";"DSL";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";50,350000;1277,500000;"No";2,768325
"6952-OMNWB";"Male";1;"Yes";"No";68;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";80,350000;5589,300000;"No";2,768325
"4952-YSOGZ";"Female";0;"Yes";"Yes";4;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";85,950000;381,300000;"Yes";1,000000
"1589-AGTLK";"Male";0;"No";"No";3;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";45,350000;141,500000;"Yes";1,000000
"6439-GTPCA";"Female";0;"No";"No";45;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"Yes";"No";"No";"Month-to-month";"Yes";"Electronic check";87,250000;3941,700000;"Yes";1,000000
"6647-ZEDXT";"Female";0;"No";"No";30;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Credit card (automatic)";110,450000;3327,050000;"No";2,768325
"5138-WVKYJ";"Male";0;"No";"No";10;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"No";"Yes";"Yes";"Month-to-month";"No";"Electronic check";98,550000;1008,550000;"Yes";1,000000
"2189-WWOEW";"Female";0;"No";"Yes";15;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";85,900000;1269,550000;"Yes";1,000000
"5684-FJVYR";"Female";0;"Yes";"Yes";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"No";"Yes";"No";"No";"Two year";"Yes";"Bank transfer (automatic)";90,350000;6563,400000;"No";2,768325
"1894-IGFSG";"Female";0;"No";"No";22;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"No";"Electronic check";89,250000;1907,850000;"Yes";1,000000
"7817-OMJNA";"Male";0;"No";"No";14;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Bank transfer (automatic)";20,400000;275,700000;"No";2,768325
